data,produto_id,categoria,vendas_qtd,estoque_qtd,preco_unitario,promocao
2023-01-09,PROD_3,Alimento,9,105,17.46,0
2023-01-09,PROD_4,Higiene,10,129,14.86,0
2023-01-09,PROD_5,Bebida,12,69,14.85,1
2023-01-09,PROD_6,Alimento,7,50,5.12,0
2023-01-09,PROD_7,Alimento,15,61,16.99,0
2023-01-09,PROD_8,Higiene,9,166,24.11,0
2023-01-09,PROD_9,Higiene,10,77,9.46,0
2023-01-09,PROD_10,Alimento,20,190,5.17,1
2023-01-10,PROD_1,Alimento,30,96,23.08,1
2023-01-10,PROD_2,Bebida,14,54,23.26,0
2023-01-10,PROD_3,Alimento,6,112,4.07,0
2023-01-10,PROD_4,Alimento,21,154,11.95,1
2023-01-10,PROD_5,Alimento,14,127,12.42,0
2023-01-10,PROD_6,Bebida,8,162,7.91,0
2023-01-10,PROD_7,Higiene,8,167,19.78,0
2023-01-10,PROD_8,Bebida,5,194,21.37,0
2023-01-10,PROD_9,Alimento,13,115,6.38,0
2023-01-10,PROD_10,Higiene,21,128,20.81,1
2023-01-11,PROD_1,Bebida,18,128,12.91,1
2023-01-11,PROD_2,Alimento,10,118,12.03,0
2023-01-11,PROD_3,Bebida,8,164,24.57,0
2023-01-11,PROD_4,Alimento,11,193,15.05,0
2023-01-11,PROD_5,Bebida,10,110,17.28,0
2023-01-11,PROD_6,Bebida,6,110,7.63,0
2023-01-11,PROD_7,Higiene,10,95,4.18,0
2023-01-11,PROD_8,Higiene,12,96,11.33,0
2023-01-11,PROD_9,Bebida,4,50,17.0,0
2023-01-11,PROD_10,Higiene,16,77,5.32,0
2023-01-12,PROD_1,Higiene,12,105,11.43,0
2023-01-12,PROD_2,Bebida,8,168,6.36,0
2023-01-12,PROD_3,Bebida,8,175,11.61,0
2023-01-12,PROD_4,Higiene,21,116,6.07,1
2023-01-12,PROD_5,Bebida,11,160,17.45,0
2023-01-12,PROD_6,Bebida,6,55,19.53,0
2023-01-12,PROD_7,Higiene,7,170,22.84,0
2023-01-12,PROD_8,Alimento,6,53,8.6,0
2023-01-12,PROD_9,Higiene,13,186,21.79,0
2023-01-12,PROD_10,Bebida,5,124,5.23,0
2023-01-13,PROD_1,Higiene,17,111,22.11,1
2023-01-13,PROD_2,Alimento,11,93,23.48,0
2023-01-13,PROD_3,Bebida,23,69,7.91,1
2023-01-13,PROD_4,Alimento,11,86,8.71,0
2023-01-13,PROD_5,Bebida,17,183,14.38,1
2023-01-13,PROD_6,Bebida,8,114,10.74,0
2023-01-13,PROD_7,Higiene,5,87,6.48,0
2023-01-13,PROD_8,Bebida,18,169,12.35,0
2023-01-13,PROD_9,Higiene,9,113,24.8,0
2023-01-13,PROD_10,Higiene,16,54,15.85,1
2023-01-14,PROD_1,Bebida,15,91,8.57,0
2023-01-14,PROD_2,Alimento,19,174,11.94,1
2023-01-14,PROD_3,Bebida,10,102,9.98,0
2023-01-14,PROD_4,Alimento,11,64,22.99,0
2023-01-14,PROD_5,Alimento,12,87,22.39,0
2023-01-14,PROD_6,Alimento,13,135,19.68,0
2023-01-14,PROD_7,Bebida,13,190,18.85,0
2023-01-14,PROD_8,Alimento,14,185,5.88,1
2023-01-14,PROD_9,Higiene,12,144,6.72,0
2023-01-14,PROD_10,Alimento,12,197,16.37,0
2023-01-15,PROD_1,Alimento,21,96,7.4,1
2023-01-15,PROD_2,Higiene,15,160,9.69,0
2023-01-15,PROD_3,Alimento,13,176,19.11,0
2023-01-15,PROD_4,Alimento,11,78,6.78,0
2023-01-15,PROD_5,Higiene,27,150,5.74,1
2023-01-15,PROD_6,Higiene,26,192,24.67,1
2023-01-15,PROD_7,Higiene,8,166,12.08,0
2023-01-15,PROD_8,Bebida,9,87,16.48,0
2023-01-15,PROD_9,Bebida,12,157,10.95,0
2023-01-15,PROD_10,Higiene,11,137,23.12,0
2023-01-16,PROD_1,Bebida,8,163,10.2,0
2023-01-16,PROD_2,Bebida,18,167,17.77,0
2023-01-16,PROD_3,Alimento,7,190,22.0,0
2023-01-16,PROD_4,Bebida,13,78,12.04,0
2023-01-16,PROD_5,Higiene,14,50,16.94,0
2023-01-16,PROD_6,Higiene,10,163,20.17,0
2023-01-16,PROD_7,Higiene,5,104,14.19,0
2023-01-16,PROD_8,Bebida,8,173,23.84,0
2023-01-16,PROD_9,Alimento,19,116,20.72,1
2023-01-16,PROD_10,Alimento,13,146,8.47,0
2023-01-17,PROD_1,Higiene,11,193,15.47,0
2023-01-17,PROD_2,Higiene,7,56,12.04,0
2023-01-17,PROD_3,Bebida,14,196,17.11,0
2023-01-17,PROD_4,Alimento,8,179,16.04,0
2023-01-17,PROD_5,Bebida,14,186,11.31,0
2023-01-17,PROD_6,Higiene,10,177,12.88,0
2023-01-17,PROD_7,Bebida,10,74,7.42,0
2023-01-17,PROD_8,Bebida,10,86,9.04,0
2023-01-17,PROD_9,Higiene,14,83,3.9,1
2023-01-17,PROD_10,Higiene,14,155,15.41,0
2023-01-18,PROD_1,Bebida,8,147,6.51,0
2023-01-18,PROD_2,Bebida,9,171,16.41,0
2023-01-18,PROD_3,Bebida,18,85,12.57,0
2023-01-18,PROD_4,Alimento,14,162,20.08,0
2023-01-18,PROD_5,Alimento,17,199,19.01,0
2023-01-18,PROD_6,Alimento,11,158,19.25,0
2023-01-18,PROD_7,Alimento,10,89,6.83,0
2023-01-18,PROD_8,Alimento,12,88,19.16,0
2023-01-18,PROD_9,Higiene,8,98,5.13,0
2023-01-18,PROD_10,Bebida,19,111,6.44,1
2023-01-19,PROD_1,Alimento,11,167,24.1,0
2023-01-19,PROD_2,Higiene,27,108,17.2,1
2023-01-19,PROD_3,Bebida,28,135,24.73,1
2023-01-19,PROD_4,Alimento,12,121,23.18,0
2023-01-19,PROD_5,Higiene,20,195,24.38,1
2023-01-19,PROD_6,Higiene,11,157,14.73,0
2023-01-19,PROD_7,Bebida,12,157,6.09,0
2023-01-19,PROD_8,Alimento,20,190,15.81,1
2023-01-19,PROD_9,Higiene,21,104,16.96,1
2023-01-19,PROD_10,Bebida,18,172,13.43,1
2023-01-20,PROD_1,Bebida,13,65,24.96,0
2023-01-20,PROD_2,Bebida,24,152,22.28,1
2023-01-20,PROD_3,Alimento,8,195,14.73,0
2023-01-20,PROD_4,Bebida,9,137,8.52,0
2023-01-20,PROD_5,Bebida,24,173,6.18,1
2023-01-20,PROD_6,Bebida,29,126,12.48,1
2023-01-20,PROD_7,Higiene,4,142,24.77,0
2023-01-20,PROD_8,Alimento,10,106,17.47,0
2023-01-20,PROD_9,Alimento,13,54,8.24,0
2023-01-20,PROD_10,Higiene,10,110,17.04,0
2023-01-21,PROD_1,Higiene,15,62,9.1,0
2023-01-21,PROD_2,Higiene,11,147,8.31,0
2023-01-21,PROD_3,Higiene,8,125,13.33,0
2023-01-21,PROD_4,Higiene,8,87,4.26,0
2023-01-21,PROD_5,Higiene,10,109,9.08,0
2023-01-21,PROD_6,Bebida,26,164,5.85,1
2023-01-21,PROD_7,Bebida,12,82,21.23,0
2023-01-21,PROD_8,Alimento,11,108,22.39,0
2023-01-21,PROD_9,Higiene,7,94,6.95,0
2023-01-21,PROD_10,Bebida,13,156,22.24,0
2023-01-22,PROD_1,Alimento,24,62,8.42,1
2023-01-22,PROD_2,Bebida,22,137,16.76,1
2023-01-22,PROD_3,Bebida,8,112,21.1,0
2023-01-22,PROD_4,Bebida,17,61,11.93,0
2023-01-22,PROD_5,Bebida,8,99,4.95,0
2023-01-22,PROD_6,Alimento,9,174,24.79,0
2023-01-22,PROD_7,Alimento,13,107,11.75,0
2023-01-22,PROD_8,Higiene,10,124,3.52,0
2023-01-22,PROD_9,Higiene,12,76,8.25,0
2023-01-22,PROD_10,Higiene,19,107,22.16,1
2023-01-23,PROD_1,Alimento,7,74,22.72,0
2023-01-23,PROD_2,Bebida,10,109,18.87,0
2023-01-23,PROD_3,Alimento,25,180,7.49,1
2023-01-23,PROD_4,Bebida,7,66,20.63,0
2023-01-23,PROD_5,Bebida,10,112,16.56,0
2023-01-23,PROD_6,Higiene,11,113,17.51,0
2023-01-23,PROD_7,Alimento,4,159,13.29,0
2023-01-23,PROD_8,Higiene,11,151,24.46,0
2023-01-23,PROD_9,Higiene,12,125,23.02,0
2023-01-23,PROD_10,Alimento,10,197,24.71,0
2023-01-24,PROD_1,Alimento,16,82,10.94,0
2023-01-24,PROD_2,Alimento,13,152,22.47,0
2023-01-24,PROD_3,Bebida,7,98,6.35,0
2023-01-24,PROD_4,Bebida,15,122,23.96,0
2023-01-24,PROD_5,Bebida,8,56,4.62,0
2023-01-24,PROD_6,Bebida,11,176,17.71,0
2023-01-24,PROD_7,Higiene,12,61,17.34,0
2023-01-24,PROD_8,Alimento,14,104,8.81,0
2023-01-24,PROD_9,Alimento,14,81,13.61,0
2023-01-24,PROD_10,Alimento,12,145,14.21,0
2023-01-25,PROD_1,Alimento,5,142,15.16,0
2023-01-25,PROD_2,Higiene,14,73,12.5,0
2023-01-25,PROD_3,Alimento,11,166,12.65,0
2023-01-25,PROD_4,Alimento,11,88,12.0,0
2023-01-25,PROD_5,Bebida,15,67,9.45,0
2023-01-25,PROD_6,Alimento,6,136,17.08,0
2023-01-25,PROD_7,Bebida,10,90,17.1,0
2023-01-25,PROD_8,Alimento,19,133,8.82,1
2023-01-25,PROD_9,Bebida,7,94,16.25,0
2023-01-25,PROD_10,Alimento,14,129,8.6,0
2023-01-26,PROD_1,Alimento,13,69,14.68,0
2023-01-26,PROD_2,Higiene,16,77,16.14,1
2023-01-26,PROD_3,Bebida,12,169,4.29,0
2023-01-26,PROD_4,Bebida,14,197,20.82,0
2023-01-26,PROD_5,Bebida,2,108,9.3,0
2023-01-26,PROD_6,Alimento,2,92,10.3,0
2023-01-26,PROD_7,Bebida,7,87,3.87,0
2023-01-26,PROD_8,Higiene,8,173,6.5,0
2023-01-26,PROD_9,Bebida,13,145,17.98,1
2023-01-26,PROD_10,Alimento,16,168,8.54,1
2023-01-27,PROD_1,Bebida,10,185,23.81,0
2023-01-27,PROD_2,Bebida,15,80,22.09,0
2023-01-27,PROD_3,Alimento,11,112,17.67,0
2023-01-27,PROD_4,Alimento,11,117,24.51,0
2023-01-27,PROD_5,Bebida,16,131,17.49,0
2023-01-27,PROD_6,Higiene,14,103,22.37,0
2023-01-27,PROD_7,Alimento,11,192,17.46,0
2023-01-27,PROD_8,Alimento,9,84,18.45,0
2023-01-27,PROD_9,Alimento,11,123,8.39,0
2023-01-27,PROD_10,Alimento,13,182,19.83,0
2023-01-28,PROD_1,Alimento,10,136,12.07,0
2023-01-28,PROD_2,Alimento,17,156,20.98,0
2023-01-28,PROD_3,Bebida,15,100,3.66,0
2023-01-28,PROD_4,Bebida,18,174,4.8,1
2023-01-28,PROD_5,Bebida,10,155,16.77,0
2023-01-28,PROD_6,Bebida,8,138,16.62,0
2023-01-28,PROD_7,Alimento,7,91,14.73,0
2023-01-28,PROD_8,Higiene,5,169,23.23,0
2023-01-28,PROD_9,Higiene,10,75,14.82,0
2023-01-28,PROD_10,Higiene,9,121,8.06,0
2023-01-29,PROD_1,Higiene,7,68,20.05,0
2023-01-29,PROD_2,Bebida,6,118,21.8,0
2023-01-29,PROD_3,Higiene,14,199,7.11,0
2023-01-29,PROD_4,Alimento,11,187,4.01,0
2023-01-29,PROD_5,Alimento,4,113,9.02,0
2023-01-29,PROD_6,Higiene,9,73,6.43,0
2023-01-29,PROD_7,Bebida,12,158,6.26,0
2023-01-29,PROD_8,Alimento,15,185,5.21,0
2023-01-29,PROD_9,Alimento,11,109,11.39,0
2023-01-29,PROD_10,Higiene,16,99,4.95,1
2023-01-30,PROD_1,Alimento,10,179,18.12,0
2023-01-30,PROD_2,Higiene,10,79,24.87,0
2023-01-30,PROD_3,Higiene,11,104,10.67,0
2023-01-30,PROD_4,Higiene,9,194,15.02,0
2023-01-30,PROD_5,Higiene,20,72,9.97,1
2023-01-30,PROD_6,Bebida,10,198,12.09,0
2023-01-30,PROD_7,Alimento,11,191,5.5,0
2023-01-30,PROD_8,Higiene,8,51,6.03,0
2023-01-30,PROD_9,Higiene,8,104,23.64,0
2023-01-30,PROD_10,Higiene,11,61,6.98,0
2023-01-31,PROD_1,Bebida,13,183,23.51,0
2023-01-31,PROD_2,Higiene,13,115,6.54,0
2023-01-31,PROD_3,Alimento,16,103,6.81,0
2023-01-31,PROD_4,Bebida,13,183,10.25,0
2023-01-31,PROD_5,Higiene,4,74,6.65,0
2023-01-31,PROD_6,Higiene,13,141,8.5,0
2023-01-31,PROD_7,Bebida,9,183,10.2,0
2023-01-31,PROD_8,Alimento,11,80,3.51,0
2023-01-31,PROD_9,Bebida,10,60,4.82,0
2023-01-31,PROD_10,Higiene,8,186,19.72,0
2023-02-01,PROD_1,Bebida,8,129,6.56,0
2023-02-01,PROD_2,Higiene,11,150,18.37,0
2023-02-01,PROD_3,Alimento,11,112,16.73,0
2023-02-01,PROD_4,Higiene,11,141,20.53,0
2023-02-01,PROD_5,Alimento,7,198,13.86,0
2023-02-01,PROD_6,Bebida,13,182,3.91,0
2023-02-01,PROD_7,Bebida,10,188,8.13,0
2023-02-01,PROD_8,Bebida,13,83,13.27,1
2023-02-01,PROD_9,Bebida,10,91,10.48,0
2023-02-01,PROD_10,Bebida,17,109,20.38,1
2023-02-02,PROD_1,Higiene,16,70,5.14,0
2023-02-02,PROD_2,Higiene,9,128,21.24,0
2023-02-02,PROD_3,Alimento,14,136,22.62,0
2023-02-02,PROD_4,Alimento,5,158,18.12,0
2023-02-02,PROD_5,Bebida,9,188,20.75,0
2023-02-02,PROD_6,Alimento,24,54,24.37,1
2023-02-02,PROD_7,Alimento,12,160,15.32,1
2023-02-02,PROD_8,Higiene,17,122,5.27,1
2023-02-02,PROD_9,Alimento,6,127,11.71,0
2023-02-02,PROD_10,Alimento,20,59,4.99,1
2023-02-03,PROD_1,Bebida,11,81,20.67,0
2023-02-03,PROD_2,Higiene,2,195,16.75,0
2023-02-03,PROD_3,Higiene,9,163,8.33,0
2023-02-03,PROD_4,Alimento,6,162,23.78,0
2023-02-03,PROD_5,Bebida,7,198,17.38,0
2023-02-03,PROD_6,Bebida,10,135,24.54,0
2023-02-03,PROD_7,Alimento,10,51,19.69,0
2023-02-03,PROD_8,Bebida,13,137,6.33,0
2023-02-03,PROD_9,Higiene,11,72,10.86,0
2023-02-03,PROD_10,Bebida,22,160,18.31,1
2023-02-04,PROD_1,Alimento,13,52,6.96,0
2023-02-04,PROD_2,Higiene,9,59,24.82,0
2023-02-04,PROD_3,Bebida,21,161,19.46,1
2023-02-04,PROD_4,Bebida,9,119,20.35,0
2023-02-04,PROD_5,Bebida,18,69,22.35,1
2023-02-04,PROD_6,Higiene,6,103,20.28,0
2023-02-04,PROD_7,Higiene,11,106,18.46,0
2023-02-04,PROD_8,Bebida,14,52,11.83,0
2023-02-04,PROD_9,Higiene,11,73,4.89,0
2023-02-04,PROD_10,Alimento,17,98,18.04,1
2023-02-05,PROD_1,Alimento,12,107,17.18,0
2023-02-05,PROD_2,Higiene,10,143,18.72,0
2023-02-05,PROD_3,Higiene,5,96,10.56,0
2023-02-05,PROD_4,Alimento,22,53,24.96,1
2023-02-05,PROD_5,Bebida,12,139,14.17,0
2023-02-05,PROD_6,Alimento,9,156,16.14,0
2023-02-05,PROD_7,Alimento,17,158,4.02,1
2023-02-05,PROD_8,Higiene,14,118,20.33,0
2023-02-05,PROD_9,Bebida,13,54,21.6,0
2023-02-05,PROD_10,Higiene,7,106,18.68,0
2023-02-06,PROD_1,Bebida,17,157,19.65,0
2023-02-06,PROD_2,Bebida,8,63,4.46,0
2023-02-06,PROD_3,Higiene,13,119,8.87,0
2023-02-06,PROD_4,Bebida,15,56,4.91,0
2023-02-06,PROD_5,Alimento,12,192,5.36,0
2023-02-06,PROD_6,Higiene,13,191,22.47,0
2023-02-06,PROD_7,Alimento,16,98,19.21,1
2023-02-06,PROD_8,Alimento,21,166,13.47,1
2023-02-06,PROD_9,Higiene,14,130,8.34,0
2023-02-06,PROD_10,Bebida,9,135,24.58,0
2023-02-07,PROD_1,Higiene,9,71,15.3,0
2023-02-07,PROD_2,Higiene,10,174,21.77,0
2023-02-07,PROD_3,Higiene,13,108,19.61,0
2023-02-07,PROD_4,Bebida,13,184,13.37,0
2023-02-07,PROD_5,Alimento,12,63,22.25,0
2023-02-07,PROD_6,Alimento,10,146,8.63,0
2023-02-07,PROD_7,Bebida,9,172,11.9,0
2023-02-07,PROD_8,Bebida,18,123,11.68,0
2023-02-07,PROD_9,Bebida,13,121,5.52,0
2023-02-07,PROD_10,Alimento,15,91,20.66,0
2023-02-08,PROD_1,Higiene,6,158,13.12,0
2023-02-08,PROD_2,Higiene,7,150,22.98,0
2023-02-08,PROD_3,Bebida,17,159,19.25,1
2023-02-08,PROD_4,Alimento,24,65,5.29,1
2023-02-08,PROD_5,Alimento,6,53,24.75,0
2023-02-08,PROD_6,Alimento,22,118,24.94,1
2023-02-08,PROD_7,Alimento,7,165,15.53,0
2023-02-08,PROD_8,Higiene,15,180,23.24,0
2023-02-08,PROD_9,Alimento,7,83,22.42,0
2023-02-08,PROD_10,Alimento,12,177,10.98,0
2023-02-09,PROD_1,Higiene,22,65,11.08,1
2023-02-09,PROD_2,Higiene,6,50,5.79,0
2023-02-09,PROD_3,Higiene,11,96,21.5,0
2023-02-09,PROD_4,Bebida,13,164,10.06,0
2023-02-09,PROD_5,Bebida,11,169,23.0,0
2023-02-09,PROD_6,Bebida,9,196,11.66,0
2023-02-09,PROD_7,Higiene,9,137,24.5,0
2023-02-09,PROD_8,Bebida,14,159,4.08,1
2023-02-09,PROD_9,Alimento,13,120,23.08,0
2023-02-09,PROD_10,Bebida,11,68,16.86,0
2023-02-10,PROD_1,Higiene,12,79,22.26,0
2023-02-10,PROD_2,Alimento,8,102,4.49,0
2023-02-10,PROD_3,Bebida,12,117,9.89,0
2023-02-10,PROD_4,Bebida,18,169,22.36,1
2023-02-10,PROD_5,Higiene,7,61,7.48,0
2023-02-10,PROD_6,Bebida,25,118,16.03,1
2023-02-10,PROD_7,Bebida,10,186,8.92,0
2023-02-10,PROD_8,Higiene,26,94,17.89,1
2023-02-10,PROD_9,Alimento,15,64,18.43,0
2023-02-10,PROD_10,Alimento,19,100,16.44,1
2023-02-11,PROD_1,Alimento,11,141,13.07,0
2023-02-11,PROD_2,Higiene,10,140,5.74,0
2023-02-11,PROD_3,Alimento,11,194,19.49,0
2023-02-11,PROD_4,Higiene,15,155,4.35,0
2023-02-11,PROD_5,Higiene,10,84,24.39,0
2023-02-11,PROD_6,Bebida,11,98,13.12,0
2023-02-11,PROD_7,Bebida,2,139,3.66,0
2023-02-11,PROD_8,Alimento,7,103,13.45,0
2023-02-11,PROD_9,Bebida,5,137,23.53,0
2023-02-11,PROD_10,Bebida,21,60,14.93,1
2023-02-12,PROD_1,Alimento,16,157,4.46,0
2023-02-12,PROD_2,Bebida,22,94,19.19,1
2023-02-12,PROD_3,Higiene,25,133,18.95,1
2023-02-12,PROD_4,Higiene,9,131,18.26,0
2023-02-12,PROD_5,Higiene,10,125,5.48,0
2023-02-12,PROD_6,Bebida,16,154,5.22,0
2023-02-12,PROD_7,Higiene,21,100,17.4,1
2023-02-12,PROD_8,Alimento,14,166,23.14,0
2023-02-12,PROD_9,Alimento,10,130,22.9,0
2023-02-12,PROD_10,Bebida,9,150,18.44,0
2023-02-13,PROD_1,Bebida,8,87,6.14,0
2023-02-13,PROD_2,Higiene,9,168,21.68,0
2023-02-13,PROD_3,Higiene,21,81,15.16,1
2023-02-13,PROD_4,Higiene,27,153,21.18,1
2023-02-13,PROD_5,Higiene,9,173,22.63,0
2023-02-13,PROD_6,Alimento,6,105,18.3,0
2023-02-13,PROD_7,Higiene,18,195,19.88,1
2023-02-13,PROD_8,Bebida,4,98,17.19,0
2023-02-13,PROD_9,Bebida,20,114,5.68,1
2023-02-13,PROD_10,Higiene,20,137,5.76,0
2023-02-14,PROD_1,Bebida,18,156,14.37,1
2023-02-14,PROD_2,Higiene,10,171,11.84,0
2023-02-14,PROD_3,Bebida,17,67,6.0,1
2023-02-14,PROD_4,Bebida,18,71,21.27,1
2023-02-14,PROD_5,Alimento,10,135,15.14,0
2023-02-14,PROD_6,Bebida,18,158,8.81,1
2023-02-14,PROD_7,Bebida,8,93,7.68,0
2023-02-14,PROD_8,Higiene,6,174,21.36,0
2023-02-14,PROD_9,Bebida,10,66,13.05,0
2023-02-14,PROD_10,Higiene,8,68,19.29,0
2023-02-15,PROD_1,Alimento,10,113,7.83,0
2023-02-15,PROD_2,Alimento,8,198,16.25,0
2023-02-15,PROD_3,Alimento,10,119,19.54,0
2023-02-15,PROD_4,Alimento,14,151,6.7,0
2023-02-15,PROD_5,Alimento,9,131,14.73,0
2023-02-15,PROD_6,Bebida,11,97,13.03,0
2023-02-15,PROD_7,Alimento,8,112,24.92,0
2023-02-15,PROD_8,Higiene,10,80,22.49,0
2023-02-15,PROD_9,Alimento,16,116,19.28,0
2023-02-15,PROD_10,Bebida,8,84,18.39,0
2023-02-16,PROD_1,Alimento,22,120,8.03,1
2023-02-16,PROD_2,Alimento,8,192,3.55,0
2023-02-16,PROD_3,Alimento,11,58,6.57,0
2023-02-16,PROD_4,Alimento,12,124,19.05,0
2023-02-16,PROD_5,Higiene,10,194,11.0,0
2023-02-16,PROD_6,Higiene,12,62,14.26,0
2023-02-16,PROD_7,Alimento,14,169,17.84,0
2023-02-16,PROD_8,Higiene,17,114,12.21,1
2023-02-16,PROD_9,Bebida,9,80,15.3,0
2023-02-16,PROD_10,Higiene,9,103,22.61,0
2023-02-17,PROD_1,Bebida,7,102,5.04,0
2023-02-17,PROD_2,Alimento,10,57,20.79,0
2023-02-17,PROD_3,Bebida,8,147,9.34,0
2023-02-17,PROD_4,Higiene,9,142,19.02,0
2023-02-17,PROD_5,Higiene,12,99,4.51,0
2023-02-17,PROD_6,Alimento,16,188,13.54,0
2023-02-17,PROD_7,Higiene,16,161,21.27,0
2023-02-17,PROD_8,Alimento,5,109,23.63,0
2023-02-17,PROD_9,Bebida,12,73,17.1,0
2023-02-17,PROD_10,Higiene,23,70,19.86,1
2023-02-18,PROD_1,Higiene,10,90,13.72,0
2023-02-18,PROD_2,Alimento,11,154,13.73,0
2023-02-18,PROD_3,Alimento,9,80,4.63,0
2023-02-18,PROD_4,Alimento,11,136,18.97,0
2023-02-18,PROD_5,Alimento,6,67,16.57,0
2023-02-18,PROD_6,Bebida,20,70,19.35,1
2023-02-18,PROD_7,Higiene,4,187,9.68,0
2023-02-18,PROD_8,Bebida,12,151,15.19,0
2023-02-18,PROD_9,Higiene,6,180,10.75,0
2023-02-18,PROD_10,Higiene,11,171,12.19,0
2023-02-19,PROD_1,Higiene,8,153,14.66,0
2023-02-19,PROD_2,Alimento,21,183,6.33,1
2023-02-19,PROD_3,Bebida,8,56,12.86,0
2023-02-19,PROD_4,Higiene,14,124,10.98,0
2023-02-19,PROD_5,Higiene,8,108,21.34,0
2023-02-19,PROD_6,Bebida,7,128,10.01,0
2023-02-19,PROD_7,Bebida,7,124,4.78,0
